Settled;Description;Type;Odds;Stake (R$);Liability (R$);Profit/Loss (R$);Status
26-Mar-22 16:23:15;Collins v Zvonareva Danielle Collins-Match Odds | Betfair Bet ID 1:262793613593 | Placed 26-Mar-22 14:19:12;Back;1,28;10; -- ;2,8;Won
26-Mar-22 15:56:13;Martinez v Garin Cristian Garin-Match Odds | Betfair Bet ID 1:262742971572 | Placed 26-Mar-22 09:24:22;Back;2,72;10,74; -- ;-10,74;Lost
26-Mar-22 13:37:26;Bencic v Watson Belinda Bencic-Match Odds | Betfair Bet ID 1:262742776878 | Placed 26-Mar-22 09:22:09;Back;1,29;10; -- ;2,9;Won
26-Mar-22 11:20:47;C Martinez Cirez v C Ngounoue C Martinez Cirez-Match Odds | Betfair Bet ID 1:262742835755 | Placed 26-Mar-22 09:22:49;Back;1,77;10; -- ;7,7;Won
25-Mar-22 20:15:20;Schwartzman v Kokkinakis Diego Schwartzman-Match Odds | Betfair Bet ID 1:262669222726 | Placed 25-Mar-22 15:02:17;Back;1,81;10; -- ;-10;Lost
25-Mar-22 20:15:20;Schwartzman v Kokkinakis Thanasi Kokkinakis-Match Odds | Betfair Bet ID 1:262693705253 | Placed 25-Mar-22 18:56:20;Back;36;0,5; -- ;17,5;Won
25-Mar-22 18:18:03;Rublev v Kyrgios Andrey Rublev-Match Odds | Betfair Bet ID 1:262669436928 | Placed 25-Mar-22 15:04:20;Back;1,78;10; -- ;-10;Lost
25-Mar-22 10:02:41;C Sauvant v K Rinaldo Persson C Sauvant-Match Odds | Betfair Bet ID 1:262623269298 | Placed 25-Mar-22 04:44:11;Back;2,24;10; -- ;12,4;Won
24-Mar-22 21:13:05;Bencic v Kostyuk Belinda Bencic-Match Odds | Betfair Bet ID 1:262573237906 | Placed 24-Mar-22 12:16:55;Back;1,77;10; -- ;7,7;Won
24-Mar-22 19:53:27;Tsonga v Thompson Jo-Wilfried Tsonga-Match Odds | Betfair Bet ID 1:262573074795 | Placed 24-Mar-22 12:15:21;Back;2,62;16,37; -- ;-16,37;Lost
24-Mar-22 18:38:11;Watson v Svitolina Elina Svitolina-Match Odds | Betfair Bet ID 1:262572750377 | Placed 24-Mar-22 12:11:15;Back;1,27;10; -- ;-10;Lost
24-Mar-22 12:42:05;Lestienne v Cuenin Constant Lestienne-Match Odds | Betfair Bet ID 1:262572293652 | Placed 24-Mar-22 12:04:33;Back;1,21;10; -- ;2,07;Won
24-Mar-22 08:36:26;Vavassori v Ha Medjedovic Andrea Vavassori-Match Odds | Betfair Bet ID 1:262462010918 | Placed 23-Mar-22 01:36:09;Back;1,39;7,18; -- ;2,8;Won
24-Mar-22 08:36:26;Vavassori v Ha Medjedovic Andrea Vavassori-Match Odds | Betfair Bet ID 1:262462021209 | Placed 23-Mar-22 01:36:24;Back;1,36;2,82; -- ;1,02;Won
24-Mar-22 08:36:26;Vavassori v Ha Medjedovic Andrea Vavassori-Match Odds | Betfair Bet ID 1:262484223904 | Placed 23-Mar-22 09:56:30;Lay;1,4;9,87;3,95;-3,95;Lost
23-Mar-22 19:54:39;Coric v Verdasco Borna Coric-Match Odds | Betfair Bet ID 1:262505066967 | Placed 23-Mar-22 14:46:26;Back;1,76;10; -- ;7,6;Won
23-Mar-22 19:06:12;Re Marino v Siniakova Katerina Siniakova-Match Odds | Betfair Bet ID 1:262504231522 | Placed 23-Mar-22 14:34:45;Back;1,56;10; -- ;5,6;Won
23-Mar-22 16:28:41;Luc Bronzetti v Tomljanovic Ajla Tomljanovic-Match Odds | Betfair Bet ID 1:262500403629 | Placed 23-Mar-22 13:45:31;Back;1,37;10; -- ;-10;Lost
23-Mar-22 13:01:37;Sels v Masur Daniel Masur-Match Odds | Betfair Bet ID 1:262462081607 | Placed 23-Mar-22 01:37:49;Back;1,67;10; -- ;-10;Lost
23-Mar-22 10:03:27;Brouwer v Riedi Gijs Brouwer-Match Odds | Betfair Bet ID 1:262464497306 | Placed 23-Mar-22 03:02:32;Back;1,8;10; -- ;-10;Lost
23-Mar-22 08:57:37;I Murta v A Vangelova A Vangelova-Match Odds | Betfair Bet ID 1:262464531079 | Placed 23-Mar-22 03:03:33;Back;5;10; -- ;-10;Lost
23-Mar-22 08:44:03;M Bellucci v N Vylegzhanin M Bellucci-Match Odds | Betfair Bet ID 1:262464471629 | Placed 23-Mar-22 03:01:52;Back;1,22;10; -- ;-10;Lost
23-Mar-22 08:27:23;Lu Nardi v Cuenin Luca Nardi-Match Odds | Betfair Bet ID 1:262462038690 | Placed 23-Mar-22 01:36:51;Back;1,24;10; -- ;-10;Lost
23-Mar-22 08:21:15;Guinard v Zeppieri Giulio Zeppieri-Match Odds | Betfair Bet ID 1:262412854270 | Placed 22-Mar-22 10:15:55;Back;2,28;10; -- ;-10;Lost
23-Mar-22 01:15:43;M Buzarnescu v O Gadecki M Buzarnescu-Match Odds | Betfair Bet ID 1:262450413672 | Placed 22-Mar-22 20:12:10;Back;1,7;10; -- ;-10;Lost
23-Mar-22 00:15:32;Olivieri v Nico Barrientos Genaro Alberto Olivieri-Match Odds | Betfair Bet ID 1:262450793640 | Placed 22-Mar-22 20:22:25;Back;1,58;10; -- ;5,8;Won
22-Mar-22 22:44:19;A Omae v R Bhosale A Omae-Match Odds | Betfair Bet ID 1:262450483583 | Placed 22-Mar-22 20:13:53;Back;2,92;10; -- ;-10;Lost
